,resource,resource_type,direct_access,description,experiment,case,component,stream,variable,date_range,ensemble,file_fullpath,file_basename,file_dirname,ctrl_branch_year,year_offset,sequence_order,has_ocean_bgc,grid
21,scratch:posix:/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001,posix,True,"Ocean-ice hindcast, XT-Fe forcing 100% soluble",xtfe,g.e21.G1850ECOIAF.T62_g17.xtfe.001,ocn,pop.h,graze_sp_zint_100m,000101-006212,0,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.graze_sp_zint_100m.000101-006212.nc,g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.graze_sp_zint_100m.000101-006212.nc,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/,,1699,0,True,POP_gx1v7
22,scratch:posix:/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001,posix,True,"Ocean-ice hindcast, XT-Fe forcing 100% soluble",xtfe,g.e21.G1850ECOIAF.T62_g17.xtfe.001,ocn,pop.h,diatC,000101-006212,0,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.diatC.000101-006212.nc,g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.diatC.000101-006212.nc,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/,,1699,0,True,POP_gx1v7
23,scratch:posix:/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001,posix,True,"Ocean-ice hindcast, XT-Fe forcing 100% soluble",xtfe,g.e21.G1850ECOIAF.T62_g17.xtfe.001,ocn,pop.h,Jint_100m_NO3,000101-006212,0,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.Jint_100m_NO3.000101-006212.nc,g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.Jint_100m_NO3.000101-006212.nc,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/,,1699,0,True,POP_gx1v7
24,scratch:posix:/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001,posix,True,"Ocean-ice hindcast, XT-Fe forcing 100% soluble",xtfe,g.e21.G1850ECOIAF.T62_g17.xtfe.001,ocn,pop.h,DOP_diat_uptake,000101-006212,0,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.DOP_diat_uptake.000101-006212.nc,g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.DOP_diat_uptake.000101-006212.nc,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/,,1699,0,True,POP_gx1v7
25,scratch:posix:/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001,posix,True,"Ocean-ice hindcast, XT-Fe forcing 100% soluble",xtfe,g.e21.G1850ECOIAF.T62_g17.xtfe.001,ocn,pop.h,diatChl,000101-006212,0,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.diatChl.000101-006212.nc,g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.diatChl.000101-006212.nc,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/,,1699,0,True,POP_gx1v7
26,scratch:posix:/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001,posix,True,"Ocean-ice hindcast, XT-Fe forcing 100% soluble",xtfe,g.e21.G1850ECOIAF.T62_g17.xtfe.001,ocn,pop.h,DOC_prod_zint,000101-006212,0,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.DOC_prod_zint.000101-006212.nc,g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.DOC_prod_zint.000101-006212.nc,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/,,1699,0,True,POP_gx1v7
27,scratch:posix:/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001,posix,True,"Ocean-ice hindcast, XT-Fe forcing 100% soluble",xtfe,g.e21.G1850ECOIAF.T62_g17.xtfe.001,ocn,pop.h,diat_SiO3_lim_surf,000101-006212,0,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.diat_SiO3_lim_surf.000101-006212.nc,g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.diat_SiO3_lim_surf.000101-006212.nc,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/,,1699,0,True,POP_gx1v7
28,scratch:posix:/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001,posix,True,"Ocean-ice hindcast, XT-Fe forcing 100% soluble",xtfe,g.e21.G1850ECOIAF.T62_g17.xtfe.001,ocn,pop.h,ALK,000101-006212,0,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.ALK.000101-006212.nc,g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.ALK.000101-006212.nc,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/,,1699,0,True,POP_gx1v7
29,scratch:posix:/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001,posix,True,"Ocean-ice hindcast, XT-Fe forcing 100% soluble",xtfe,g.e21.G1850ECOIAF.T62_g17.xtfe.001,ocn,pop.h,SiO2_FLUX_IN,000101-006212,0,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.SiO2_FLUX_IN.000101-006212.nc,g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.SiO2_FLUX_IN.000101-006212.nc,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/,,1699,0,True,POP_gx1v7
30,scratch:posix:/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001,posix,True,"Ocean-ice hindcast, XT-Fe forcing 100% soluble",xtfe,g.e21.G1850ECOIAF.T62_g17.xtfe.001,ocn,pop.h,SFWF_WRST,000101-006212,0,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.SFWF_WRST.000101-006212.nc,g.e21.G1850ECOIAF.T62_g17.xtfe.001.pop.h.SFWF_WRST.000101-006212.nc,/glade/scratch/mclong/archive/g.e21.G1850ECOIAF.T62_g17.xtfe.001/ocn/proc/tseries/month_1/,,1699,0,True,POP_gx1v7
